City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,thunder bay,48.4001,-89.3168,297.14,38,100,4.12,CA,1722894726
235,namibe,-15.1961,12.1522,291.48,85,94,0.4,AO,1722894843
236,alesund,62.4723,6.1549,290.56,93,100,1.03,NO,1722894844
237,hanzhong,33.0728,107.0303,296.64,89,39,0.9,CN,1722894845
238,hami,42.8,93.45,300.28,26,1,2.72,CN,1722894846
239,brisas de zicatela,15.8369,-97.0419,302.03,73,68,1.73,MX,1722894847
240,hadibu,12.65,54.0333,298.56,81,37,8.96,YE,1722894848
241,port hope,43.9408,-82.7127,296.49,78,100,4.12,US,1722894849
242,maryville,35.7565,-83.9705,307.03,57,20,5.14,US,1722894781
243,tobelo,1.7284,128.0095,299.43,86,100,1.6,ID,1722894851
244,port lincoln,-34.7333,135.8667,282.6,90,99,4.39,AU,1722894852
245,ciudad guayana,8.3533,-62.6528,298.44,91,100,1.17,VE,1722894853
246,qaqortoq,60.7167,-46.0333,281.73,78,100,1.46,GL,1722894854
247,karonga,-9.9333,33.9333,292.62,55,4,2.21,MW,1722894855
248,leticia,-4.2153,-69.9406,306.18,62,40,2.06,CO,1722894856
249,turtas,58.9417,69.1325,290.64,76,91,0.31,RU,1722894857
250,immokalee,26.4187,-81.4173,302.12,96,40,4.12,US,1722894859
251,oodweyne,9.4092,45.064,297.64,57,100,5.12,SO,1722894860
252,alice springs,-23.7,133.8833,274.9,100,0,2.57,AU,1722894861
253,road town,18.4167,-64.6167,304.2,70,40,6.69,VG,1722894862
254,kerman,30.2832,57.0788,298.07,22,0,2.06,IR,1722894863
255,sampit,-2.5333,112.95,295.58,94,97,0.69,ID,1722894864
256,codrington,-38.2667,141.9667,279.4,96,89,5.76,AU,1722894865
257,sligo,54.2697,-8.4694,286.31,88,20,2.75,IE,1722894683
258,cadale,2.7603,46.3222,297.62,80,20,8.91,SO,1722894868
259,sao vicente,-23.9631,-46.3919,303.3,59,22,0.51,BR,1722894573
260,kristiansund,63.1115,7.732,290.18,96,100,3.09,NO,1722894870
261,crane,31.3974,-102.3501,308.16,26,39,3.18,US,1722894871
262,sarykemer,43.0,71.5,294.86,37,0,3.28,KZ,1722894872
263,enoch,37.7733,-113.0244,309.29,20,0,5.66,US,1722894873
264,fort bragg,35.139,-79.006,302.06,80,100,3.09,US,1722894875
265,kendari,-3.945,122.4989,295.72,96,48,0.84,ID,1722894876
266,tring,51.7947,-0.6582,292.88,81,69,0.45,GB,1722894877
267,rockport,28.0206,-97.0544,307.18,77,0,4.63,US,1722894879
268,loukhi,66.0764,33.0381,282.95,83,93,1.01,RU,1722894880
269,at-bashi,41.1702,75.8106,286.35,74,47,0.43,KG,1722894881
270,hastings,50.8552,0.5729,291.42,82,0,2.92,GB,1722894882
271,tuy hoa,13.0833,109.3,297.46,92,89,2.46,VN,1722894883
272,qamdo,31.1667,97.2333,279.51,62,15,0.51,CN,1722894884
273,pola de siero,43.3923,-5.6634,293.77,93,14,1.34,ES,1722894885
274,fortuna,40.5982,-124.1573,290.36,92,100,2.57,US,1722894886
275,iquique,-20.2208,-70.1431,290.17,85,34,4.76,CL,1722894667
276,westport,41.1415,-73.3579,303.77,64,0,4.63,US,1722894888
277,saint-philippe,-21.3585,55.7679,291.92,78,25,4.45,RE,1722894889
278,kapa'a,22.0752,-159.319,303.14,69,75,5.14,US,1722894890
279,daliang,22.8504,113.247,302.26,72,100,1.04,CN,1722894893
280,enewetak,11.3474,162.3373,301.98,72,88,2.47,MH,1722894803
281,kangding,30.0513,101.9603,286.36,68,5,2.85,CN,1722894895
282,lautoka,-17.6167,177.4667,296.07,60,20,2.57,FJ,1722894898
283,maragogi,-9.0122,-35.2225,296.42,78,29,4.57,BR,1722894899
284,ejura,7.3856,-1.3562,296.94,79,88,4.11,GH,1722894900
285,gadzhiyevo,69.2551,33.3362,281.58,78,2,1.64,RU,1722894901
286,peniche,39.3558,-9.3811,294.38,93,0,7.18,PT,1722894902
287,labrador city,52.9463,-66.9114,286.1,67,100,5.66,CA,1722894903
288,calvi,42.5,8.8333,296.5,78,0,1.54,FR,1722894904
289,siracusa,37.0881,15.2792,299.92,76,14,2.14,IT,1722894905
290,kedrovyy,56.1667,91.8167,289.38,99,94,1.87,RU,1722894906
291,lorengau,-2.0226,147.2712,300.83,81,86,3.77,PG,1722894907
